"gender"	"age"	"attitude"	"deep"	"stra"	"surf"	"points"
"1"	"F"	1	3.7	3.58333333333333	3.375	2.58333333333333	4
"2"	"M"	2	3.1	2.91666666666667	2.75	3.16666666666667	4
"3"	"F"	1	2.5	3.5	3.625	2.25	3
"4"	"M"	2	3.5	3.5	3.125	2.25	3
"5"	"M"	2	3.7	3.66666666666667	3.625	2.83333333333333	4
"6"	"F"	2	3.8	4.75	3.625	2.41666666666667	4
"7"	"M"	1	3.5	3.83333333333333	2.25	1.91666666666667	5
"8"	"F"	1	2.9	3.25	4	2.83333333333333	4
"9"	"M"	1	3.8	4.33333333333333	4.25	2.16666666666667	4
"10"	"F"	2	2.1	4	3.5	3	4
"11"	"M"	2	3.9	3.58333333333333	3.625	2.66666666666667	4
"12"	"F"	1	3.8	3.83333333333333	4.75	2.41666666666667	5
"13"	"F"	1	2.4	4.25	3.625	2.25	5
"14"	"F"	1	3	3.33333333333333	3.5	2.75	4
"15"	"M"	1	2.6	4.16666666666667	1.75	2.33333333333333	3
"16"	"F"	1	2.5	3.08333333333333	3.125	2.66666666666667	5
"17"	"F"	2	4.1	3.66666666666667	3.875	2.33333333333333	3
"18"	"F"	1	2.6	4.08333333333333	1.375	2.91666666666667	3
"19"	"F"	2	2.6	3.5	3.25	2.5	4
"20"	"M"	1	1.7	4.08333333333333	3	3.75	4
"21"	"F"	1	2.7	4	3.75	2.75	4
"22"	"M"	4	3.9	3.91666666666667	2.625	2.33333333333333	3
"23"	"M"	2	3.4	4	2.375	2.41666666666667	4
"24"	"F"	1	2.7	4	3.625	3	5
"25"	"F"	2	2.3	3.66666666666667	2.75	2.41666666666667	4
"26"	"F"	2	3.7	3.66666666666667	1.75	2.83333333333333	2
"27"	"F"	1	4.4	4.41666666666667	3.25	3.16666666666667	3
"28"	"M"	2	4.1	3.91666666666667	4	3	5
"29"	"F"	2	2.4	3.83333333333333	2.125	2.16666666666667	4
"30"	"F"	1	3.7	3.75	3.625	2	4
"31"	"F"	2	2.5	3.25	2.875	3.5	3
"32"	"M"	4	3	3.58333333333333	3	3.75	4
"33"	"M"	1	3.4	4.91666666666667	1.625	2.5	2
"34"	"F"	1	3.2	3.58333333333333	3.25	2.08333333333333	5
"35"	"F"	2	2	2.91666666666667	3.5	2.41666666666667	4
"36"	"F"	3	2.4	3.66666666666667	3	2.58333333333333	4
"37"	"M"	5	4.2	4.5	3.25	1.58333333333333	4
"38"	"F"	4	1.6	4.08333333333333	1.875	2.83333333333333	5
"39"	"M"	1	3.1	3.83333333333333	4.375	1.83333333333333	5
"40"	"M"	3	3.8	3.25	3.625	2.41666666666667	4
"41"	"M"	3	3.8	2.33333333333333	2.5	3.25	4
"42"	"M"	1	3.3	3.33333333333333	1.25	3.41666666666667	2
"43"	"F"	2	1.7	4.08333333333333	4	3.41666666666667	4
"44"	"F"	2	2.5	2.91666666666667	3	3.16666666666667	4
"45"	"M"	5	3.2	3.33333333333333	2.5	3.5	3
"46"	"F"	1	3.5	3.83333333333333	4.875	2.66666666666667	5
"47"	"F"	1	3.2	3.66666666666667	5	2.41666666666667	5
"48"	"F"	1	4.2	4.66666666666667	4.375	3.58333333333333	5
"49"	"M"	1	3.1	3.75	3.25	2.08333333333333	5
"50"	"F"	1	3.9	3.41666666666667	4	3.75	4
"51"	"F"	1	1.9	4.16666666666667	3.125	2.91666666666667	5
"52"	"F"	2	2.1	2.91666666666667	2.5	2.91666666666667	2
"53"	"M"	1	2.5	4.16666666666667	3.125	2.41666666666667	3
"54"	"M"	1	3.2	3.58333333333333	3.25	3	4
"55"	"M"	1	3.2	2.83333333333333	2.125	3.41666666666667	4
"56"	"F"	2	2.6	4	2.75	2.91666666666667	4
"57"	"F"	2	2.3	2.91666666666667	2.375	3.25	3
"58"	"F"	1	3.8	3	3.125	3.25	4
"59"	"F"	1	2.8	4.08333333333333	4	2.33333333333333	5
"60"	"F"	1	3.3	2.91666666666667	4	3.25	5
"61"	"M"	2	4.8	3.5	2.25	2.5	2
"62"	"M"	1	4	4.33333333333333	3.25	1.75	4
"63"	"F"	3	4	4.25	3.625	2.25	4
"64"	"F"	1	4.7	3.41666666666667	3.625	2.08333333333333	4
"65"	"F"	1	2.3	3.08333333333333	2.5	2.83333333333333	4
"66"	"F"	2	3.1	4.58333333333333	1.875	2.83333333333333	4
"67"	"F"	2	2.7	3.41666666666667	2	2.41666666666667	2
"68"	"M"	1	4.1	3.41666666666667	1.875	2.25	3
"69"	"F"	5	3.4	3.5	2.625	2.33333333333333	5
"70"	"F"	2	3.4	3.41666666666667	4	2.83333333333333	4
"71"	"F"	2	2.5	3.58333333333333	2.875	2.25	4
"72"	"F"	2	2.1	1.58333333333333	3.875	1.83333333333333	1
"73"	"F"	1	1.4	3.33333333333333	2.5	2.91666666666667	2
"74"	"F"	2	1.9	4.33333333333333	2.75	2.91666666666667	4
"75"	"M"	1	3.7	4.41666666666667	4.5	2.08333333333333	5
"76"	"M"	5	4.1	4.58333333333333	3.5	2.66666666666667	4
"77"	"M"	1	3.2	4.83333333333333	3.375	2.33333333333333	4
"78"	"M"	1	2.8	3.08333333333333	2.625	2.41666666666667	4
"79"	"F"	2	4.1	3	4.125	2.75	2
"80"	"F"	1	2.5	4.08333333333333	2.625	3.25	4
"81"	"M"	2	2.8	4.08333333333333	2.25	1.75	4
"82"	"M"	5	3.8	3.75	2.75	2.58333333333333	4
"83"	"M"	3	3.1	3.08333333333333	3	3.33333333333333	4
"84"	"M"	1	3.5	4.75	1.625	2.83333333333333	3
"85"	"F"	1	3.6	4.25	1.875	2.5	3
"86"	"F"	1	2.6	4.16666666666667	3.375	2.41666666666667	5
"87"	"M"	1	4.4	4.41666666666667	3.75	2.41666666666667	5
"88"	"M"	2	4.5	3.83333333333333	2.125	2.58333333333333	2
"89"	"M"	2	3.2	3.33333333333333	2.375	3	4
"90"	"F"	1	2	3.41666666666667	1.75	2.33333333333333	3
"91"	"F"	2	3.9	3.16666666666667	2.75	2	3
"92"	"F"	2	2.5	3.16666666666667	3.125	3.41666666666667	5
"93"	"M"	3	3.3	3.83333333333333	3.5	2.83333333333333	4
"94"	"M"	1	3.5	4.16666666666667	1.625	3.41666666666667	2
"95"	"F"	4	3.3	4.25	2.625	2.25	4
"96"	"F"	2	3	3.83333333333333	3.375	2.75	4
"97"	"F"	2	2.9	3.66666666666667	2.25	3.91666666666667	4
"98"	"M"	1	3.3	3.83333333333333	3	2.33333333333333	4
"99"	"F"	5	3.3	3.83333333333333	4	2.75	4
"100"	"F"	4	3.5	3.83333333333333	3.5	2.75	4
"101"	"F"	1	3.6	3.66666666666667	2.625	2.91666666666667	2
"102"	"M"	2	4.2	4.16666666666667	2.875	2.66666666666667	4
"103"	"M"	1	3.7	4.33333333333333	2.5	2.08333333333333	4
"104"	"F"	5	2.8	4.41666666666667	3.25	3.58333333333333	4
"105"	"M"	4	4.2	3.75	3.75	3.66666666666667	4
"106"	"M"	3	2.2	2.66666666666667	2	3.41666666666667	4
"107"	"M"	1	3.2	4.16666666666667	3.625	2.83333333333333	4
"108"	"F"	1	5	4	4.125	3.41666666666667	5
"109"	"M"	1	4.7	4	4.375	1.58333333333333	4
"110"	"F"	2	3.6	4.58333333333333	2.625	2.91666666666667	3
"111"	"F"	1	3.6	3.66666666666667	4	3	4
"112"	"M"	3	2.9	3.66666666666667	2.75	2.91666666666667	4
"113"	"F"	1	3.5	3.83333333333333	2.75	2.66666666666667	4
"114"	"F"	3	4	2.58333333333333	1.375	3	2
"115"	"F"	2	3.5	3.5	2.25	2.75	4
"116"	"F"	1	3.2	3.08333333333333	3.625	3.08333333333333	3
"117"	"F"	1	2.6	4.25	3.75	2.5	5
"118"	"F"	2	2	3.16666666666667	4	2.33333333333333	4
"119"	"F"	1	2.7	3.08333333333333	3.125	3	4
"120"	"F"	1	3.2	4.16666666666667	3.25	3	4
"121"	"F"	2	3.3	2.25	2.125	4	2
"122"	"F"	1	3.9	3.33333333333333	2.875	3.25	4
"123"	"M"	2	3.3	3.08333333333333	1.5	3.5	2
"124"	"F"	2	3	2.75	2.5	3.5	3
"125"	"M"	2	3.7	3.25	3.25	3.83333333333333	4
"126"	"F"	1	1.4	3.75	3.25	3.08333333333333	5
"127"	"M"	1	3	4.75	2.5	2.5	4
"128"	"F"	2	2.5	4	3.625	2.91666666666667	4
"129"	"F"	2	2.9	3.58333333333333	3.875	2.16666666666667	4
"130"	"M"	1	3.9	4.08333333333333	3.875	1.66666666666667	4
"131"	"F"	1	3.6	4.25	2.375	2.08333333333333	2
"132"	"F"	2	2.9	3.41666666666667	3	2.83333333333333	4
"133"	"F"	1	2.1	3.08333333333333	3.375	3.41666666666667	4
"134"	"M"	2	3.1	3.5	2.75	3.33333333333333	3
"135"	"F"	2	2.4	3.91666666666667	3.125	3.5	4
"136"	"M"	1	4	3.66666666666667	4.5	2.58333333333333	5
"137"	"F"	1	3.1	4.25	2.625	2.83333333333333	4
"138"	"F"	2	2.3	4.25	2.75	3.33333333333333	2
"139"	"F"	2	2.8	3.83333333333333	3.25	3	3
"140"	"F"	1	3.7	4.41666666666667	4.125	2.58333333333333	5
"141"	"F"	1	2.6	3.5	3.375	2.41666666666667	4
"142"	"F"	1	2.4	3.58333333333333	2.75	3.58333333333333	4
"143"	"F"	1	3	3.66666666666667	4.125	2.08333333333333	5
"144"	"F"	2	2.9	4.25	3	2.75	4
"145"	"F"	1	3.2	3.75	4.125	3.91666666666667	4
"146"	"M"	2	2.8	2.08333333333333	3.25	4.33333333333333	4
"147"	"F"	1	2.9	4.25	2.875	2.66666666666667	3
"148"	"F"	1	2.4	3.58333333333333	2.875	3	3
"149"	"M"	3	3.1	4	2.375	2.66666666666667	3
"150"	"F"	2	1.9	3.33333333333333	3.875	2.16666666666667	4
"151"	"F"	4	2	3.5	2.125	2.66666666666667	4
"152"	"F"	2	3.8	3.16666666666667	4	2.25	5
"153"	"F"	2	3.4	3.58333333333333	3.25	2.66666666666667	4
"154"	"F"	1	3.7	3.41666666666667	2.625	3.33333333333333	3
"155"	"F"	1	2.9	4.25	2.75	3.5	4
"156"	"F"	3	2.3	3.25	4	2.75	4
"157"	"M"	1	4.1	4.41666666666667	3	2	3
"158"	"F"	3	2.7	3.25	3.375	2.83333333333333	4
"159"	"F"	1	3.5	3.91666666666667	3.875	3.5	4
"160"	"F"	2	3.4	3.58333333333333	3.25	2.5	4
"161"	"F"	2	3.2	4.5	3.375	3.16666666666667	4
"162"	"M"	3	3.3	3.58333333333333	4.125	3.08333333333333	4
"163"	"F"	1	3.3	3.66666666666667	3.5	2.91666666666667	4
"164"	"M"	2	3.5	2.58333333333333	2	3.16666666666667	2
"165"	"F"	1	3.2	4.16666666666667	3.625	2.5	2
"166"	"F"	1	3.1	3.25	3.375	3.83333333333333	4
"167"	"F"	4	2.4	3.58333333333333	2.25	2.83333333333333	2
"168"	"F"	1	2.8	4.33333333333333	2.125	2.25	2
"169"	"F"	1	1.7	3.91666666666667	4.625	3.41666666666667	5
"170"	"M"	3	1.9	2.66666666666667	2.5	3.75	5
"171"	"F"	1	3.2	3.58333333333333	2	1.75	4
"172"	"F"	2	3.5	3.08333333333333	2.875	3	4
"173"	"F"	1	2.4	3.75	2.75	2.58333333333333	3
"174"	"F"	2	3.8	4.08333333333333	3.375	2.75	4
"175"	"F"	1	2.1	4.16666666666667	4	3.33333333333333	3
"176"	"F"	1	2.9	4.16666666666667	2.375	2.83333333333333	2
"177"	"F"	2	1.9	3.25	3.875	3	5
"178"	"F"	1	2	4.08333333333333	3.375	2.83333333333333	5
"179"	"F"	1	4.2	2.91666666666667	1.75	3.16666666666667	2
"180"	"M"	3	4.1	3.83333333333333	3	2.75	3
"181"	"F"	1	3.7	3.16666666666667	2.625	3.41666666666667	4
"182"	"F"	2	3.6	3.41666666666667	2.625	3	4
"183"	"M"	1	1.8	4.08333333333333	3.375	2.66666666666667	5
